@relation R_data_frame

@attribute f1 numeric
@attribute f1v numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute l1 numeric
@attribute l2 numeric
@attribute l3 numeric
@attribute n1 numeric
@attribute n2 numeric
@attribute n3 numeric
@attribute n4 numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute Class {Defaults,Tuning}

@data
0.365,3.302,0.267,0.026,0.04,0.781,0.196,0.389,0.326,0.603,0.231,0.271,0.996,325.857,Tuning
0.693,2.976,0,0.026,0.046,0.988,0.178,0.248,0.328,0.485,0.229,0.25,0.998,97.064,Tuning
0.156,0.566,0.004,0.049,0.079,0.876,0.447,0.5,0.542,0.777,0.312,0.411,0.995,46.125,Defaults
0.592,5.899,0,0.123,0.349,0.265,0.122,0.5,0.197,0.446,0.126,0.287,0.998,39.405,Tuning
0.505,0.417,0,0.065,0.137,0.205,0.102,0.5,0.193,0.489,0.128,0.363,1,42.243,Tuning
0.295,6.46,0.000001,0.161,0.988,0.609,0.292,0.478,0.509,0.772,0.311,0.273,1,4.128,Defaults
1.738,10.56,0,0.535,0.631,0.015,0.007,0.5,0.014,0.021,0.008,0.378,0.999,249.105,Tuning
0.974,7.332,0,0.439,0.981,0.409,0.178,0.5,0.336,0.731,0.234,0.257,0.991,3.69,Defaults
0.85,6.758,0,0.042,0.151,0.42,0.197,0.492,0.289,0.75,0.192,0.241,1,24.857,Defaults
0.53,20.095,0,0.218,0.99,0.29,0.149,0.5,0.267,0.589,0.158,0.252,0.921,3.483,Tuning
0.708,8.929,0.000013,0.286,0.644,0.19,0.094,0.5,0.19,0.413,0.118,0.332,0.998,11.744,Tuning
0.917,11.311,0,0.359,1,0.644,0.262,0.203,0.421,0.78,0.283,0.224,1,1.686,Defaults
0.533,3.934,0.001,0.009,0.042,0.31,0.155,0.5,0.366,0.679,0.261,0.414,0.986,100.429,Tuning
0.248,5.838,0.000004,0.053,0.237,0.14,0.069,0.5,0.138,0.517,0.087,0.387,0.993,52.81,Tuning
1.066,18.799,0,0.336,0.618,0.009,0.004,0.5,0.011,0.057,0.008,0.424,0.988,155.25,Tuning
0.658,7.521,0.000003,0.362,0.851,0.156,0.077,0.5,0.181,0.582,0.136,0.357,1,10.892,Tuning
0.298,14.17,0.051,0.018,0.066,0.795,0.358,0.359,0.504,0.794,0.336,0.305,1,34.25,Defaults
0.733,8.533,0.125,0.208,0.9,0.17,0.085,0.5,0.177,0.209,0.108,0.346,0.923,16.25,Tuning
0.084,0.315,1.917,0.013,0.013,0.638667,0.316333,0.474333,0.773,1.404,0.658,0.526,0.995,39.2,Defaults
8.251,0.662333,1.285,0.338,0.563,0.657,0.333333,0.5,0.629,0.735,0.371,0.45,0.914,25.167,Tuning
0.061,1.547,0.07,0.973,0.973,0.000231,0,0,0.014,0.16,0,0,0.721,26.727,Defaults
0.163,0.242,0,0.024,0.063,0.777,0.389,0.5,0.675,0.891,0.532,0.313,0.984,15.75,Defaults
0.204,0.161356,3,0,0,0.625,0.333333,0.5,0.317,0.677,0.208,0.327,0.914,156.25,Tuning
0.021,0.849,0.667,0.003,0.007,0.586,0.297,0.5,0.437,0.865,0.357,0.392,1,31.778,Defaults
