@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1037_ada_prior,-2.834422,-0.344736,0.499503,-1.335292,-2.798115,5.044787,-1.381465,-2.915631,-0.931271,-0.989809,-0.917445,0.492278,0.182182,-0.693086,0.131388,1.464709,0.30625,-0.816386,0.113638,-1.174658,-0.754331,-0.893841,-0.902092,-0.552511,-1.383131,0.90025,0.609644,0.779952,-0.894108,-1.028386,-1.928875,0.536741,1.073069,-0.37529,-0.809832,-1.523178,-1.746053,-1.173868,0.38279,-0.182786,Tuning
1043_ada_agnostic,-3.273005,-0.303459,0.189777,-2.88452,-1.635791,1.684755,1.417158,-2.514611,-1.846031,0.125448,-0.356749,1.559169,1.726035,-1.314789,-0.338543,-0.813291,0.826225,-0.985795,-0.72138,-0.115492,-0.230207,-0.641023,0.508965,0.805232,-0.001698,-0.097684,0.101659,0.208909,0.145087,-0.218532,-0.515363,0.208621,0.700792,-0.424596,-0.163451,-0.058401,0.628516,0.480984,0.233658,0.227561,Tuning
1048_jEdit_4.2_4.3,0.269662,-0.444814,2.902292,-1.434497,-1.36604,-0.833416,0.492134,-2.429137,-0.844186,1.826557,0.493588,0.226377,-0.510968,0.586086,0.754247,0.140945,0.717204,-0.181276,-0.92352,-0.314039,-0.155794,0.290973,0.599272,0.010941,-0.112374,0.130194,-0.159995,0.18491,0.544023,-0.183141,0.348444,-0.780297,0.756357,0.127991,0.266264,0.219794,0.126325,0.013127,0.01147,0.032272,Defaults
1049_pc4,-1.969263,-4.503313,-0.22648,-4.702742,1.259157,1.141592,-1.468888,0.410501,-0.558191,1.140337,-0.45465,-2.312817,-0.325287,0.619332,0.282645,-0.017462,-0.267008,2.041379,0.30182,-0.012518,0.717542,0.197269,0.083519,-0.938717,0.014462,0.001583,-0.507968,0.590835,0.210751,-0.38184,0.169208,0.47185,-0.168452,0.438563,-0.161806,-0.018669,-0.268221,-0.341368,0.086242,0.131706,Tuning
1050_pc3,-2.429274,-5.195861,-0.084684,-5.512829,-0.356883,1.623778,-1.970254,-0.459233,-0.795911,0.159638,-1.111558,-0.8984,0.172431,0.268421,0.810747,0.128504,-0.051025,1.214856,0.588463,0.000029,-0.15747,0.116932,-0.176448,-0.622116,0.265903,0.48754,-0.135695,-0.049886,0.371627,1.016663,0.166085,1.025869,0.501352,0.137563,0.129629,-0.3159,-0.145748,0.379521,-0.116486,0.155476,Tuning
1054_mc2,-0.578205,0.778148,2.003141,-2.728215,-0.252211,-1.83065,-0.164122,-0.94117,0.174851,1.408531,0.492508,-1.646245,-1.185225,-0.718768,-0.099747,-0.077302,0.165546,1.146287,-0.17286,0.23963,0.031086,0.406544,-0.184362,-1.253442,-0.497209,-0.679528,-0.222777,0.067043,-0.562028,0.247439,0.138989,0.105172,-0.241078,0.010106,0.025633,0.015968,0.154355,-0.484266,0.00635,0.009852,Tuning
1056_mc1,-9.591437,-3.876515,-6.36641,-5.316062,-3.9477,5.279164,-0.435114,-4.400712,-1.100838,-1.067062,-4.027402,0.430245,-1.100339,-2.260457,-1.273831,-1.280249,1.643667,-1.600208,0.032492,0.167885,-0.119187,-0.155712,-3.088635,-0.296499,-0.57158,-0.315228,0.502856,0.028694,0.086612,-0.653136,0.573458,-0.030073,-0.988688,0.2349,0.998976,0.284747,0.368658,0.846504,0.125,-0.004572,Tuning
1061_ar4,-3.801229,3.255341,0.996109,-1.139609,-0.699624,-3.503443,-1.70285,0.083244,0.45542,-0.8913,0.351877,0.69119,-0.86338,-1.042063,0.077218,0.717763,0.273767,0.022407,-0.335036,0.559566,0.486824,-1.134431,-0.035506,0.146526,0.182661,0.737869,-1.239588,-0.094106,0.519294,-0.57856,-0.164557,0.130244,0.195337,0.371031,-0.242133,-0.234016,0.279395,-0.304562,-0.301126,-0.09657,Defaults
1063_kc2,-2.564237,-0.232053,0.939847,-2.894491,-0.076997,-0.953663,-1.673999,-1.002415,-0.57225,0.529422,-0.38962,-0.037895,-0.34079,-0.153396,0.715276,0.577695,-0.426776,0.798878,-0.653419,0.470192,0.455382,0.629413,0.620233,0.657044,0.546564,-0.664179,-0.03723,-0.106723,-0.298835,-0.450149,0.678348,-0.258064,-0.20753,0.253943,-0.31926,0.265164,-0.565532,-0.190164,0.401694,-0.133889,Defaults
1064_ar6,-4.387663,3.092104,0.850317,-0.92247,-0.209153,-3.924278,-1.674742,1.119344,0.96783,-0.835152,0.648515,0.714659,-0.659877,-0.972168,0.00145,1.12736,0.842378,-0.422157,0.174428,1.577241,0.425036,-2.049327,-0.282118,-0.208892,0.427816,1.105787,-1.410196,0.156421,0.220765,-0.315111,-0.441267,-0.214955,0.294978,0.749073,-0.06998,-0.051567,0.143176,-0.093471,-0.090469,-0.473515,Tuning
1065_kc3,-3.711956,-0.388959,0.087145,-2.18498,0.2871,-1.801821,-2.074853,0.779635,-0.333439,-0.802466,0.149615,-0.022218,0.168876,-0.561977,0.797591,0.779258,-1.181272,0.56122,-0.364489,-0.058224,0.141854,0.283072,0.604399,0.036924,0.283156,-0.155786,0.571353,-0.362603,-0.60055,0.062836,-0.262993,-0.119771,-0.394114,-0.186484,-0.013305,0.156592,0.015931,0.273356,-0.148765,0.200718,Tuning
1066_kc1-binary,-0.743346,3.077604,1.692074,-2.360709,0.407081,-1.551735,0.963951,-1.012423,1.18357,0.597077,0.906621,0.112324,-0.35605,-1.355823,0.04778,-0.137287,-0.001778,1.148224,0.072891,-0.434325,-0.335641,0.504873,-0.438508,-0.040507,-0.700496,-0.716868,-0.661471,-0.011482,0.441674,0.289044,0.030004,0.1943,0.290995,-0.077348,-0.45982,0.215593,0.306332,-0.089038,0.056914,-0.058115,Defaults
1067_kc1,-3.272486,-1.343391,0.118486,-1.932611,-0.686033,-0.791102,-1.417749,-0.43566,-0.957327,-0.111348,-0.066643,0.188416,0.001771,-0.268518,0.976256,0.666447,-0.851809,1.091921,-0.641476,0.433429,0.085849,-0.112739,0.173391,0.910118,0.826087,-1.00083,0.642169,0.047047,-0.035658,-0.789017,0.555996,-0.542751,-0.164384,0.611445,-0.210242,0.579919,-0.637091,-0.169867,0.284481,0.083602,Tuning
1068_pc1,-5.039098,-0.737347,-0.288164,-3.080523,-0.909133,-0.926137,-2.476804,-0.322465,-0.657992,-0.575464,-0.897433,0.292061,0.578019,-0.279475,1.018919,0.82256,-0.956172,0.066204,-0.476822,0.175328,0.304952,0.412287,0.681489,0.262426,0.534329,-0.221378,0.559869,-0.688783,-0.430484,0.09912,-0.223614,-0.18101,-0.701201,-0.096614,-0.23735,0.514088,-0.655907,0.225339,0.067816,0.393633,Tuning
1069_pc2,-11.260727,1.638708,-4.76214,-3.085602,-6.184599,1.423749,-1.030584,-2.567931,-0.605552,-2.225303,-4.0167,4.138828,-1.159196,3.25662,-2.237928,-1.827851,2.993751,1.429491,0.481393,-0.720816,0.010015,-0.335984,-0.596289,0.443339,-0.290951,-0.261693,0.081639,-0.296531,-0.931233,-0.075182,-0.026068,-0.566419,-0.587943,0.403068,0.117167,0.114028,0.177445,0.582332,-0.106532,0.106244,Tuning
1071_mw1,-4.826246,1.38074,-0.119012,-1.205047,-0.465934,-2.748585,-1.776968,0.891723,0.175228,-0.484951,0.196162,-0.505583,-0.087399,0.260492,0.658511,0.41237,-1.062824,0.092286,-0.206812,-0.49712,0.298585,-0.159112,0.164755,0.664282,0.083952,0.106402,0.333913,-0.339001,-0.217253,-0.273472,-0.049344,-0.248363,-0.288948,-0.36968,0.370997,-0.166082,0.099045,0.055332,0.020098,0.04476,Tuning
1073_jEdit_4.0_4.2,-0.261794,1.275027,2.573171,-1.763569,-0.752586,-0.598766,0.739423,-2.796381,-0.252134,1.904115,-0.001705,-0.261276,0.112054,0.085139,0.375689,-0.203776,0.515385,0.25586,-0.47805,-0.239519,0.35032,0.549893,0.427842,-0.217596,-0.087244,0.236986,-0.091136,-0.183452,0.04819,-0.364323,0.291175,-0.291074,0.576963,0.279505,-0.200911,0.666928,0.189849,-0.201922,-0.059205,-0.106737,Defaults
1075_datatrieve,-5.312739,2.241179,0.598256,-0.207318,-0.291483,-4.210992,-2.574404,1.332631,0.624841,-0.803702,0.288676,0.182839,-0.746195,-0.357061,0.430791,1.178152,0.476013,-0.482099,0.427644,1.730678,0.348364,-2.297375,-0.71852,-0.197462,0.888725,1.352747,-1.054753,-0.414562,-0.111813,-0.215728,-0.358195,-0.292811,0.283867,0.383774,-0.05302,-0.054397,-0.02321,0.271821,-0.112315,0.228824,Tuning
