@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute PC59 numeric
@attribute PC60 numeric
@attribute PC61 numeric
@attribute PC62 numeric
@attribute PC63 numeric
@attribute PC64 numeric
@attribute PC65 numeric
@attribute PC66 numeric
@attribute PC67 numeric
@attribute PC68 numeric
@attribute PC69 numeric
@attribute PC70 numeric
@attribute PC71 numeric
@attribute PC72 numeric
@attribute PC73 numeric
@attribute PC74 numeric
@attribute PC75 numeric
@attribute PC76 numeric
@attribute PC77 numeric
@attribute PC78 numeric
@attribute PC79 numeric
@attribute PC80 numeric
@attribute Class {Defaults,Tuning}

@data
1037_ada_prior,-2.834422,-0.344736,0.499503,-1.335292,-2.798115,5.044787,-1.381465,-2.915631,-0.931271,-0.989809,-0.917445,0.492278,0.182182,-0.693086,0.131388,1.464709,0.30625,-0.816386,0.113638,-1.174658,-0.754331,-0.893841,-0.902092,-0.552511,-1.383131,0.90025,0.609644,0.779952,-0.894108,-1.028386,-1.928875,0.536741,1.073069,-0.37529,-0.809832,-1.523178,-1.746053,-1.173868,0.38279,-0.182786,-0.240946,0.803476,1.280265,0.769068,0.582965,0.183707,-0.014949,-0.25266,-0.154343,-0.042225,0.494776,-0.175357,-0.242734,-0.094982,-0.149588,-0.11245,-0.106174,0.075801,0.043873,-0.04168,-0.067251,0.051731,-0.1003,-0.043359,0.037712,0.026902,0.037522,-0.032812,-0.016565,0.010635,-0.046773,0.023862,0.007827,0.000836,0.00162,0.001967,0.000614,0,-0,0,Tuning
1043_ada_agnostic,-3.273005,-0.303459,0.189777,-2.88452,-1.635791,1.684755,1.417158,-2.514611,-1.846031,0.125448,-0.356749,1.559169,1.726035,-1.314789,-0.338543,-0.813291,0.826225,-0.985795,-0.72138,-0.115492,-0.230207,-0.641023,0.508965,0.805232,-0.001698,-0.097684,0.101659,0.208909,0.145087,-0.218532,-0.515363,0.208621,0.700792,-0.424596,-0.163451,-0.058401,0.628516,0.480984,0.233658,0.227561,-0.627777,-0.035195,0.227152,-0.110754,-0.798937,-0.539503,0.017525,-0.0249,-0.130428,-0.234484,-0.4203,0.009165,-0.112323,-0.210585,-0.217869,-0.039415,0.060241,0.064544,-0.174823,-0.20604,-0.0839,-0.099334,0.144005,0.075102,0.061615,-0.028607,-0.004128,0.05882,-0.071705,0.027068,-0.043687,0.001949,0.007238,-0.007584,0.009555,0.000969,0.003274,0,-0,-0,Tuning
1048_jEdit_4.2_4.3,0.269662,-0.444814,2.902292,-1.434497,-1.36604,-0.833416,0.492134,-2.429137,-0.844186,1.826557,0.493588,0.226377,-0.510968,0.586086,0.754247,0.140945,0.717204,-0.181276,-0.92352,-0.314039,-0.155794,0.290973,0.599272,0.010941,-0.112374,0.130194,-0.159995,0.18491,0.544023,-0.183141,0.348444,-0.780297,0.756357,0.127991,0.266264,0.219794,0.126325,0.013127,0.01147,0.032272,-0.037913,-0.102226,0.027101,-0.347369,0.279641,0.114768,-0.176185,-0.436811,0.007905,-0.071002,0.053413,0.195665,-0.067493,0.260307,0.067846,0.045277,-0.126377,0.000151,0.082299,-0.03266,0.031638,-0.037644,-0.095342,-0.087034,-0.05456,0.029422,0.02535,0.009155,0.01094,0.057122,0.040965,0.045464,0.025567,-0.015537,0.00696,-0.00505,0.001199,-0,-0,0,Defaults
1049_pc4,-1.969263,-4.503313,-0.22648,-4.702742,1.259157,1.141592,-1.468888,0.410501,-0.558191,1.140337,-0.45465,-2.312817,-0.325287,0.619332,0.282645,-0.017462,-0.267008,2.041379,0.30182,-0.012518,0.717542,0.197269,0.083519,-0.938717,0.014462,0.001583,-0.507968,0.590835,0.210751,-0.38184,0.169208,0.47185,-0.168452,0.438563,-0.161806,-0.018669,-0.268221,-0.341368,0.086242,0.131706,0.346435,-0.17509,0.008559,-0.046844,-0.527913,-0.021723,0.309485,-0.090326,-0.223442,-0.211909,-0.090721,-0.083445,-0.123173,-0.186651,-0.064726,0.174367,0.065368,-0.099628,0.162631,0.080832,0.065719,0.169409,-0.07189,0.019327,0.004799,-0.031831,-0.058529,-0.065263,0.088681,-0.075134,-0.003927,-0.017125,-0.04645,0.00108,-0.003923,0.002773,-0.001368,0,0,-0,Tuning
1050_pc3,-2.429274,-5.195861,-0.084684,-5.512829,-0.356883,1.623778,-1.970254,-0.459233,-0.795911,0.159638,-1.111558,-0.8984,0.172431,0.268421,0.810747,0.128504,-0.051025,1.214856,0.588463,0.000029,-0.15747,0.116932,-0.176448,-0.622116,0.265903,0.48754,-0.135695,-0.049886,0.371627,1.016663,0.166085,1.025869,0.501352,0.137563,0.129629,-0.3159,-0.145748,0.379521,-0.116486,0.155476,0.078448,-0.328203,-0.030453,0.125201,-0.48949,0.038977,0.303784,-0.083188,-0.025966,0.070206,0.100882,-0.087723,0.106526,-0.142632,0.185333,0.171601,0.240606,-0.000791,-0.113229,0.007822,-0.048579,0.192808,-0.049194,-0.017661,0.061778,0.005981,-0.000786,-0.052564,-0.044612,0.016112,0.039186,0.005701,0.053799,-0.089888,0.01877,-0.024552,0.002411,0,0,-0,Tuning
1054_mc2,-0.578205,0.778148,2.003141,-2.728215,-0.252211,-1.83065,-0.164122,-0.94117,0.174851,1.408531,0.492508,-1.646245,-1.185225,-0.718768,-0.099747,-0.077302,0.165546,1.146287,-0.17286,0.23963,0.031086,0.406544,-0.184362,-1.253442,-0.497209,-0.679528,-0.222777,0.067043,-0.562028,0.247439,0.138989,0.105172,-0.241078,0.010106,0.025633,0.015968,0.154355,-0.484266,0.00635,0.009852,-0.019458,0.119459,-0.172464,-0.084866,-0.048006,-0.03163,0.103702,0.112088,-0.168867,-0.096331,0.022396,-0.049335,-0.075482,-0.086961,-0.239809,0.144946,-0.141746,-0.046284,0.046226,-0.011372,-0.05417,-0.098378,0.01626,0.121367,0.053313,0.0789,0.026638,-0.036602,-0.011659,-0.009167,0.034146,0.043526,0.031111,0.0068,-0.017911,-0.004384,-0.00111,0,-0,-0,Tuning
1056_mc1,-9.591437,-3.876515,-6.36641,-5.316062,-3.9477,5.279164,-0.435114,-4.400712,-1.100838,-1.067062,-4.027402,0.430245,-1.100339,-2.260457,-1.273831,-1.280249,1.643667,-1.600208,0.032492,0.167885,-0.119187,-0.155712,-3.088635,-0.296499,-0.57158,-0.315228,0.502856,0.028694,0.086612,-0.653136,0.573458,-0.030073,-0.988688,0.2349,0.998976,0.284747,0.368658,0.846504,0.125,-0.004572,0.745179,0.368841,-0.23587,0.415498,0.113517,0.085552,-0.037483,0.100755,0.472192,0.149021,-0.042826,0.031676,0.068352,0.136505,0.102661,0.084577,-0.124569,-0.035407,0.003533,0.13725,-0.007274,0.060813,0.051697,-0.015014,-0.137518,-0.010618,0.013886,0.020773,0.026367,-0.006302,-0.017442,0.027066,0.035973,0.041051,0.006058,0.01619,0.000389,0,0,0,Tuning
1061_ar4,-3.801229,3.255341,0.996109,-1.139609,-0.699624,-3.503443,-1.70285,0.083244,0.45542,-0.8913,0.351877,0.69119,-0.86338,-1.042063,0.077218,0.717763,0.273767,0.022407,-0.335036,0.559566,0.486824,-1.134431,-0.035506,0.146526,0.182661,0.737869,-1.239588,-0.094106,0.519294,-0.57856,-0.164557,0.130244,0.195337,0.371031,-0.242133,-0.234016,0.279395,-0.304562,-0.301126,-0.09657,0.180578,-0.43532,0.004415,0.03843,-0.144074,-0.184344,0.022011,-0.097399,0.137677,-0.086604,-0.053095,-0.076306,-0.011812,-0.075427,-0.0986,-0.060759,-0.07434,-0.069459,-0.02241,0.11287,-0.019971,-0.005879,0.047818,-0.000743,0.021744,0.009091,0.04706,0.027911,0.054555,0.056627,-0.023176,0.038036,0.001939,-0.027467,0.011085,-0.008043,0.000661,0,-0,-0,Defaults
1063_kc2,-2.564237,-0.232053,0.939847,-2.894491,-0.076997,-0.953663,-1.673999,-1.002415,-0.57225,0.529422,-0.38962,-0.037895,-0.34079,-0.153396,0.715276,0.577695,-0.426776,0.798878,-0.653419,0.470192,0.455382,0.629413,0.620233,0.657044,0.546564,-0.664179,-0.03723,-0.106723,-0.298835,-0.450149,0.678348,-0.258064,-0.20753,0.253943,-0.31926,0.265164,-0.565532,-0.190164,0.401694,-0.133889,-0.009865,-0.154869,-0.036306,-0.179522,-0.141032,-0.34337,-0.250283,-0.050803,-0.087712,-0.048901,0.119672,-0.37518,-0.115525,-0.176644,0.167751,0.047755,-0.226255,0.006645,-0.06714,0.041206,-0.058608,0.046869,0.026744,0.144062,0.004369,0.004288,-0.005797,0.010937,-0.035983,0.010648,-0.027567,0.014656,0.000912,-0.018994,-0.00282,-0.015115,0.000552,0,-0,0,Defaults
1064_ar6,-4.387663,3.092104,0.850317,-0.92247,-0.209153,-3.924278,-1.674742,1.119344,0.96783,-0.835152,0.648515,0.714659,-0.659877,-0.972168,0.00145,1.12736,0.842378,-0.422157,0.174428,1.577241,0.425036,-2.049327,-0.282118,-0.208892,0.427816,1.105787,-1.410196,0.156421,0.220765,-0.315111,-0.441267,-0.214955,0.294978,0.749073,-0.06998,-0.051567,0.143176,-0.093471,-0.090469,-0.473515,0.463219,-0.083294,-0.073086,0.01054,-0.291809,0.064787,0.037284,-0.002133,0.010069,-0.144552,0.018813,-0.100057,-0.023556,-0.203332,-0.090899,0.004799,-0.044398,-0.103925,-0.06461,0.059515,0.0593,-0.03148,0.005122,0.095848,0.044364,0.033624,0.020789,-0.047703,0.002228,0.02163,-0.030893,-0.014149,-0.005002,0.01227,0.009727,-0.017944,-0.000161,0,-0,-0,Tuning
