@relation R_data_frame

@attribute avail.datasets {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute simple.classes numeric
@attribute simple.attributes numeric
@attribute simple.numeric numeric
@attribute simple.nominal numeric
@attribute simple.samples numeric
@attribute simple.dimensionality numeric
@attribute simple.numeric_rate numeric
@attribute simple.nominal_rate numeric
@attribute simple.symbols_min numeric
@attribute simple.symbols_max numeric
@attribute simple.symbols_mean numeric
@attribute simple.symbols_sd numeric
@attribute simple.symbols_sum numeric
@attribute simple.class_prob_min numeric
@attribute simple.class_prob_max numeric
@attribute simple.class_prob_mean numeric
@attribute simple.class_prob_sd numeric
@attribute Class {Defaults,Tuning}

@data
1037_ada_prior,2,14,6,8,4562,0.003069,0.428571,0.571429,2,39,10.888889,11.580635,98,0.248137,0.751863,0.5,0.356188,Tuning
1043_ada_agnostic,2,47,47,0,4562,0.010302,1,0,2,2,2,0,2,0.248137,0.751863,0.5,0.356188,Tuning
1048_jEdit_4.2_4.3,2,8,8,0,369,0.02168,1,0,2,2,2,0,2,0.447154,0.552846,0.5,0.074735,Defaults
1049_pc4,2,37,37,0,1458,0.025377,1,0,2,2,2,0,2,0.122085,0.877915,0.5,0.534452,Tuning
1050_pc3,2,37,37,0,1563,0.023672,1,0,2,2,2,0,2,0.102367,0.897633,0.5,0.562338,Tuning
1054_mc2,2,39,39,0,161,0.242236,1,0,2,2,2,0,2,0.322981,0.677019,0.5,0.250342,Tuning
1056_mc1,2,38,38,0,9466,0.004014,1,0,2,2,2,0,2,0.007184,0.992816,0.5,0.696948,Tuning
1061_ar4,2,29,29,0,107,0.271028,1,0,2,2,2,0,2,0.186916,0.813084,0.5,0.442768,Defaults
1063_kc2,2,21,21,0,522,0.04023,1,0,2,2,2,0,2,0.204981,0.795019,0.5,0.41722,Defaults
1064_ar6,2,29,29,0,101,0.287129,1,0,2,2,2,0,2,0.148515,0.851485,0.5,0.497075,Tuning
1065_kc3,2,39,39,0,458,0.085153,1,0,2,2,2,0,2,0.093886,0.906114,0.5,0.574331,Tuning
1066_kc1-binary,2,86,86,0,145,0.593103,1,0,2,2,2,0,2,0.413793,0.586207,0.5,0.121915,Defaults
1067_kc1,2,21,21,0,2109,0.009957,1,0,2,2,2,0,2,0.154576,0.845424,0.5,0.488504,Tuning
1068_pc1,2,21,21,0,1109,0.018936,1,0,2,2,2,0,2,0.069432,0.930568,0.5,0.608915,Tuning
1069_pc2,2,36,36,0,5589,0.006441,1,0,2,2,2,0,2,0.004115,0.995885,0.5,0.701287,Tuning
1071_mw1,2,37,37,0,403,0.091811,1,0,2,2,2,0,2,0.076923,0.923077,0.5,0.598321,Tuning
1073_jEdit_4.0_4.2,2,8,8,0,274,0.029197,1,0,2,2,2,0,2,0.489051,0.510949,0.5,0.015484,Defaults
1075_datatrieve,2,8,8,0,130,0.061538,1,0,2,2,2,0,2,0.084615,0.915385,0.5,0.587443,Tuning
1100_PopularKids,3,10,6,4,478,0.020921,0.6,0.4,2,9,3.8,2.949576,19,0.188285,0.516736,0.333333,0.167551,Defaults
1115_teachingAssistant,3,6,2,4,151,0.039735,0.333333,0.666667,2,26,11.6,12.700394,58,0.324503,0.344371,0.333333,0.010116,Tuning
1121_badges2,2,11,8,3,294,0.037415,0.727273,0.272727,2,2,2,0,8,0.285714,0.714286,0.5,0.303046,Tuning
1167_pc1_req,2,8,7,1,320,0.025,0.875,0.125,2,3,2.5,0.707107,5,0.334375,0.665625,0.5,0.234229,Defaults
11_balance-scale,3,4,4,0,625,0.0064,1,0,3,3,3,0,3,0.0784,0.4608,0.333333,0.220779,Tuning
13_breast-cancer,2,9,0,9,286,0.031469,0,1,2,11,4.3,2.983287,43,0.297203,0.702797,0.5,0.286799,Tuning
1442_MegaWatt1,2,37,37,0,253,0.146245,1,0,2,2,2,0,2,0.106719,0.893281,0.5,0.556183,Tuning
1443_PizzaCutter1,2,37,37,0,661,0.055976,1,0,2,2,2,0,2,0.078669,0.921331,0.5,0.595852,Tuning
1444_PizzaCutter3,2,37,37,0,1043,0.035475,1,0,2,2,2,0,2,0.121764,0.878236,0.5,0.534906,Tuning
1446_CostaMadre1,2,37,37,0,296,0.125,1,0,2,2,2,0,2,0.128378,0.871622,0.5,0.525552,Tuning
1447_CastMetal1,2,37,37,0,327,0.11315,1,0,2,2,2,0,2,0.12844,0.87156,0.5,0.525465,Tuning
1451_PieChart1,2,37,37,0,705,0.052482,1,0,2,2,2,0,2,0.086525,0.913475,0.5,0.584742,Tuning
