@relation R_data_frame

@attribute dataset {1037_ada_prior,1043_ada_agnostic,1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1056_mc1,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1069_pc2,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1115_teachingAssistant,1121_badges2,1167_pc1_req,11_balance-scale,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1468_cnae-9,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1494_qsar-biodeg,1495_qualitative-bankruptcy,1496_ringnorm,1497_wall-robot-navigation,1498_sa-heart,14_mfeat-fourier,1504_steel-plates-fault,1506_thoracic-surgery,1507_twonorm,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1559_breast-tissue,1566_hill-valley,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology_promoters,16_mfeat-karhunen,182_satimage,185_baseball,187_wine,188_eucalyptus,18_mfeat-morphological,21_car,22_mfeat-zernike,23380_cjs,23_cmc,25_colic,28_optdigits,292_Australian,294_satellite_image,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,316_yeast_ml8,31_credit-g,329_hayes-roth,32_pendigits,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,44_spambase,450_analcatdata_lawsuit,451_irish,452_analcatdata_broadwaymult,4534_PhishingWebsites,4550_MiceProtein,455_cars,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,56_vote,59_ionosphere,60_waveform-5000,61_iris,6332_cylinder-bands,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute Class {Defaults,Tuning}

@data
1037_ada_prior,-2.834422,-0.344736,0.499503,-1.335292,-2.798115,5.044787,-1.381465,-2.915631,-0.931271,-0.989809,Tuning
1043_ada_agnostic,-3.273005,-0.303459,0.189777,-2.88452,-1.635791,1.684755,1.417158,-2.514611,-1.846031,0.125448,Tuning
1048_jEdit_4.2_4.3,0.269662,-0.444814,2.902292,-1.434497,-1.36604,-0.833416,0.492134,-2.429137,-0.844186,1.826557,Defaults
1049_pc4,-1.969263,-4.503313,-0.22648,-4.702742,1.259157,1.141592,-1.468888,0.410501,-0.558191,1.140337,Tuning
1050_pc3,-2.429274,-5.195861,-0.084684,-5.512829,-0.356883,1.623778,-1.970254,-0.459233,-0.795911,0.159638,Tuning
1054_mc2,-0.578205,0.778148,2.003141,-2.728215,-0.252211,-1.83065,-0.164122,-0.94117,0.174851,1.408531,Tuning
1056_mc1,-9.591437,-3.876515,-6.36641,-5.316062,-3.9477,5.279164,-0.435114,-4.400712,-1.100838,-1.067062,Tuning
1061_ar4,-3.801229,3.255341,0.996109,-1.139609,-0.699624,-3.503443,-1.70285,0.083244,0.45542,-0.8913,Defaults
1063_kc2,-2.564237,-0.232053,0.939847,-2.894491,-0.076997,-0.953663,-1.673999,-1.002415,-0.57225,0.529422,Defaults
1064_ar6,-4.387663,3.092104,0.850317,-0.92247,-0.209153,-3.924278,-1.674742,1.119344,0.96783,-0.835152,Tuning
1065_kc3,-3.711956,-0.388959,0.087145,-2.18498,0.2871,-1.801821,-2.074853,0.779635,-0.333439,-0.802466,Tuning
1066_kc1-binary,-0.743346,3.077604,1.692074,-2.360709,0.407081,-1.551735,0.963951,-1.012423,1.18357,0.597077,Defaults
1067_kc1,-3.272486,-1.343391,0.118486,-1.932611,-0.686033,-0.791102,-1.417749,-0.43566,-0.957327,-0.111348,Tuning
1068_pc1,-5.039098,-0.737347,-0.288164,-3.080523,-0.909133,-0.926137,-2.476804,-0.322465,-0.657992,-0.575464,Tuning
1069_pc2,-11.260727,1.638708,-4.76214,-3.085602,-6.184599,1.423749,-1.030584,-2.567931,-0.605552,-2.225303,Tuning
1071_mw1,-4.826246,1.38074,-0.119012,-1.205047,-0.465934,-2.748585,-1.776968,0.891723,0.175228,-0.484951,Tuning
1073_jEdit_4.0_4.2,-0.261794,1.275027,2.573171,-1.763569,-0.752586,-0.598766,0.739423,-2.796381,-0.252134,1.904115,Defaults
1075_datatrieve,-5.312739,2.241179,0.598256,-0.207318,-0.291483,-4.210992,-2.574404,1.332631,0.624841,-0.803702,Tuning
1100_PopularKids,2.434698,-1.440561,2.550734,0.64456,-2.364832,-0.480075,0.927537,0.521841,-1.161839,0.347062,Defaults
1115_teachingAssistant,4.182586,-0.046318,2.332118,1.321198,-0.468436,0.83445,-0.999254,-0.927226,0.625479,-0.146293,Tuning
1121_badges2,-3.580414,4.550418,-0.573715,0.959441,3.074063,-1.351571,-1.083833,-0.064467,1.695863,-1.172709,Tuning
1167_pc1_req,-0.414056,-0.468155,3.26097,-0.717096,-1.900702,-1.125549,0.26604,-0.852134,-1.564401,0.47308,Defaults
11_balance-scale,1.834487,-4.277146,1.383909,1.57943,1.958179,-0.18272,-1.045748,-0.296479,0.619652,-0.425277,Tuning
13_breast-cancer,0.336357,-0.991898,3.634091,1.29219,-0.140452,1.422335,-0.190169,1.330688,-1.240358,-0.180496,Tuning
1442_MegaWatt1,-4.273633,1.547185,0.389885,-1.006576,-0.699157,-2.986475,-1.589268,0.834242,0.151273,-0.380767,Tuning
